subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,1,textbook,ˈtekstbʊk,教科书,n.,Read the textbook first.,先读课本。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,2,conversation,ˌkɒnvəˈseɪʃn,对话；交谈,n.,Practice the conversation aloud.,大声练习对话。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,3,aloud,əˈlaʊd,大声地,adv.,Read the text aloud.,大声朗读课文。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,4,pronunciation,prəˌnʌnsiˈeɪʃn,发音,n.,Her pronunciation is good.,她的发音很好。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,5,sentence,ˈsentəns,句子,n.,Make a sentence with this word.,用这个词造句。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,6,patient,ˈpeɪʃnt,有耐心的,adj.,Be patient with yourself.,对自己有耐心。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,7,expression,ɪkˈspreʃn,表达；表情,n.,Learn useful expressions.,学习有用的表达。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,8,discover,dɪˈskʌvə(r),发现,v.,I discovered a good way to learn.,我发现了一个学习的好方法。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,9,secret,ˈsiːkrət,秘密,n.,The secret to learning is practice.,学习的秘诀是练习。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,10,grammar,ˈɡræmə(r),语法,n.,English grammar is not hard.,英语语法不难。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,11,repeat,rɪˈpiːt,重复,v.,Repeat after me, please.,请跟我重复。
英语,词汇,人教版 PEP,九年级全册,Unit 1 How can we become good learners?,12,note,nəʊt,笔记；便条,n.,Take notes in class.,上课记笔记。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,1,lantern,ˈlæntən,灯笼,n.,We light lanterns at the festival.,我们在节日里点灯笼。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,2,stranger,ˈstreɪndʒə(r),陌生人,n.,Do not open the door for strangers.,不要给陌生人开门。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,3,relative,ˈrelətɪv,亲戚；亲属,n.,We visit relatives at Spring Festival.,我们春节走亲访友。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,4,pound,paʊnd,磅；英镑,n.,I gained five pounds.,我重了五磅。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,5,folk,fəʊlk,民间的；人们,adj./n.,I like folk stories.,我喜欢民间故事。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,6,goddess,ˈɡɒdes,女神,n.,The goddess of the moon is Chang'e.,月亮女神是嫦娥。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,7,steal,stiːl,偷；窃取,v.,He stole the magic medicine.,他偷了仙药。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,8,admire,ədˈmaɪə(r),欣赏；钦佩,v.,We admire the full moon.,我们赏月。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,9,dessert,dɪˈzɜːt,甜点,n.,Mooncakes are my favorite dessert.,月饼是我最爱的甜点。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,10,garden,ˈɡɑːdn,花园；菜园,n.,We have dinner in the garden.,我们在花园里吃晚饭。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,11,tradition,trəˈdɪʃn,传统,n.,It is a Chinese tradition.,这是中国的传统。
英语,词汇,人教版 PEP,九年级全册,Unit 2 I think that mooncakes are delicious!,12,dead,ded,死的；去世的,adj.,The plant is dead.,这棵植物死了。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,1,restroom,ˈrestruːm,洗手间,n.,Where is the restroom?,洗手间在哪里？
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,2,stamp,stæmp,邮票,n.,I collect stamps.,我集邮。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,3,beside,bɪˈsaɪd,在……旁边,prep.,The bank is beside the post office.,银行在邮局旁边。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,4,postcard,ˈpəʊstkɑːd,明信片,n.,I send postcards to my friends.,我给朋友寄明信片。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,5,washroom,ˈwɒʃruːm,洗手间；盥洗室,n.,The washroom is over there.,洗手间在那边。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,6,bathroom,ˈbɑːθruːm,浴室；卫生间,n.,The bathroom is on the second floor.,卫生间在二楼。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,7,rush,rʌʃ,仓促；急促,v./n.,Do not rush after lunch.,午饭后不要跑。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,8,suggest,səˈdʒest,建议；提议,v.,I suggest going there by bus.,我建议乘公交去那里。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,9,grape,ɡreɪp,葡萄,n.,The grapes are sweet.,葡萄很甜。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,10,central,ˈsentrəl,中心的；中央的,adj.,It is in the central park.,它在中央公园里。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,11,mail,meɪl,邮件；邮寄,n./v.,I will mail the letter today.,我今天去寄信。
英语,词汇,人教版 PEP,九年级全册,Unit 3 Could you please tell me where the restrooms are?,12,polite,pəˈlaɪt,有礼貌的,adj.,Ask questions politely.,礼貌地提问。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,1,humorous,ˈhjuːmərəs,幽默的,adj.,Our teacher is humorous.,我们的老师很幽默。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,2,silent,ˈsaɪlənt,沉默的；安静的,adj.,He was silent in class.,他上课很沉默。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,3,helpful,ˈhelpfl,有帮助的,adj.,The book is helpful to me.,这本书对我有帮助。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,4,score,skɔː(r),分数；得分,n.,She got a good score.,她得了高分。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,5,background,ˈbækɡraʊnd,背景,n.,Tell me your background.,告诉我你的背景。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,6,interview,ˈɪntəvjuː,采访；面试,v./n.,I had an interview yesterday.,我昨天参加了面试。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,7,Asian,ˈeɪʃn,亚洲的；亚洲人,adj./n.,He is an Asian student.,他是一名亚洲学生。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,8,dare,deə(r),敢；敢于,v.,I dare to speak English now.,我现在敢说英语了。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,9,private,ˈpraɪvət,私人的；私密的,adj.,This is my private space.,这是我的私人空间。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,10,require,rɪˈkwaɪə(r),需要；要求,v.,The work requires patience.,这份工作需要耐心。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,11,European,ˌjʊərəˈpiːən,欧洲的；欧洲人,adj./n.,He is from a European country.,他来自一个欧洲国家。
英语,词汇,人教版 PEP,九年级全册,Unit 4 I used to be afraid of the dark.,12,speech,spiːtʃ,演讲；讲话,n.,She gave a speech in public.,她在公众面前做了演讲。
英语,词汇,人教版 PEP,九年级全册,Unit 5 What are the shirts made of?,1,material,məˈtɪəriəl,材料；原料,n.,What material is it?,这是什么材料？
英语,词汇,人教版 PEP,九年级全册,Unit 5 What are the shirts made of?,2,chopstick,ˈtʃɒpstɪk,筷子,n.,We eat with chopsticks.,我们用筷子吃饭。
英语,词汇,人教版 PEP,九年级全册,Unit 5 What are the shirts made of?,3,coin,kɔɪn,硬币,n.,I found a coin on the floor.,我在地上捡到一枚硬币。
